,links,longitude,latitude
137,https://minibieb.nl/minibieb/minibieb-zuilen/,52.11423,5.0816274
138,https://minibieb.nl/minibieb/minibieb-kennedylaan-utrecht/,52.081482,5.0867925
139,https://minibieb.nl/minibieb/boekenhuisje-t-sluisje/,52.0903,4.9545817
140,https://minibieb.nl/minibieb/het-biebje/,52.097244,5.04138
141,https://minibieb.nl/minibieb/lottes-minibieb-zuilen/,52.11503,5.0907464
142,https://minibieb.nl/minibieb/t-biebje/,52.3855,5.283651
143,https://minibieb.nl/minibieb/minibieb-oog-in-al-utrecht/,52.08681,5.0816035
144,https://minibieb.nl/minibieb/minibibliotheek-muziekwijk/,52.365143,5.204383
145,https://minibieb.nl/minibieb/minibieb-in-utrecht/,52.078953,5.115743
146,https://minibieb.nl/minibieb/ruilbiep/,52.068954,5.1372404
147,https://minibieb.nl/minibieb/buitenplaats-de-blauwe-meije/,52.128826,4.8080482
148,https://minibieb.nl/minibieb/samen-scheppen-groen-verbindt/,51.986782,5.857755
149,https://minibieb.nl/minibieb/minibieb-mbu/,52.100258,5.1354895
150,https://minibieb.nl/minibieb/ruilkast-javastraat/,52.09245,5.101461
151,https://minibieb.nl/minibieb/kodi-minibieb/,52.082153,5.143105
152,https://minibieb.nl/minibieb/daalsebieb/,52.095284,5.1087284
153,https://minibieb.nl/minibieb/minibieb-vleuten/,52.100723,5.022289
154,https://minibieb.nl/minibieb/minibieb-utrecht/,52.11831,5.097704
155,https://minibieb.nl/minibieb/niftarlakeplantsoen/,52.115532,5.0875587
156,https://minibieb.nl/minibieb/buurtbieb-zuilen/,52.110115,5.094939
157,https://minibieb.nl/minibieb/minibieb-westfalenlunetten/,52.05892,5.139484
158,https://minibieb.nl/minibieb/bansbuurt-minibieb/,52.08454,5.1459074
159,https://minibieb.nl/minibieb/minsweerd/,52.080643,5.1429963
160,https://minibieb.nl/minibieb/fcj-minibieb/,52.08446,5.16863
161,https://minibieb.nl/minibieb/pinocchio-ritthem/,51.45131,3.6253736
162,https://minibieb.nl/minibieb/minibieb-aan-het-zandpad-zeeland/,51.682426,5.672689
163,https://minibieb.nl/minibieb/minibieb-voederheil/,51.707108,5.6711283
164,https://minibieb.nl/minibieb/minibieb-toolenburg-give-a-little-take-a-little/,52.298965,4.667777
165,https://minibieb.nl/minibieb/the-storyteller/,51.8345,5.001436
166,https://minibieb.nl/minibieb/parklaan-antwerpen/,51.17238,4.4270506
167,https://minibieb.nl/minibieb/dorines-minibieb/,51.595497,4.9214926
168,https://minibieb.nl/minibieb/minibieb-t-westlicht/,51.5032,3.889394
169,https://minibieb.nl/minibieb/minibieb-boekenbank-goes-oost/,51.506496,3.904735
170,https://minibieb.nl/minibieb/sweat-healthcenter-minibieb-vlissingen/,51.45661,3.584846
171,https://minibieb.nl/minibieb/driessens-minibieb/,51.46693,3.589201
172,https://minibieb.nl/minibieb/kleine-gratis-bibliotheek/,51.44245,3.5812044
173,https://minibieb.nl/minibieb/buitenzagerij-onderdoorgang-amsterdam/,52.381363,4.915475
174,https://minibieb.nl/minibieb/quellijnstraat-34/,52.35688,4.8876705
175,https://minibieb.nl/minibieb/stations-boekwissel-amsterdam/,52.346836,4.918601
176,https://minibieb.nl/minibieb/da-costakade-14/,52.371986,4.872277
177,https://minibieb.nl/minibieb/trompstraat-28/,52.372036,4.861677
178,https://minibieb.nl/minibieb/orteliusstraat-274/,52.372234,4.8481894
179,https://minibieb.nl/minibieb/vrolikstraat-68/,52.35571,4.916551
180,https://minibieb.nl/minibieb/minibieb-amstelpark/,52.32945,4.8942876
181,https://minibieb.nl/minibieb/amsteldijk-158/,52.345074,4.912424
182,https://minibieb.nl/minibieb/plein-meerhuizenstraat-amsterdam/,52.347523,4.907942
183,https://minibieb.nl/minibieb/rustenburgerstraat-amsterdam/,52.353085,4.901971
184,https://minibieb.nl/minibieb/ceintuurbaan-amsterdam/,52.35534,4.9023213
185,https://minibieb.nl/minibieb/eerste-oosterparkstraat-amsterdam/,52.356125,4.9098206
186,https://minibieb.nl/minibieb/tweede-oosterparkstraat-amsterdam/,52.357235,4.917265
187,https://minibieb.nl/minibieb/wijttenbachstraat-amsterdam/,52.36083,4.9279313
188,https://minibieb.nl/minibieb/boepsminibiep-amsterdam/,52.356575,4.9921055
189,https://minibieb.nl/minibieb/schinkelkade-vaartstraat-amsterdam/,52.349564,4.8521714
190,https://minibieb.nl/minibieb/amstelkade-amsterdam/,52.348137,4.899445
191,https://minibieb.nl/minibieb/daadkracht-en-vrouw-en-vaart-amsterdam/,52.36606,4.805515
192,https://minibieb.nl/minibieb/cornelis-springerstraat-amsterdam/,52.35032,4.901729
193,https://minibieb.nl/minibieb/geervliet-buurtbieb-amsterdam/,52.331173,4.8806887
